"name","country","ico_start","ico_end","price_usd","soft_cap_usd","hard_cap_usd","distributed_in_ico","token_for_sale","whitelist","kyc","bonus","restricted_areas","bounty","mvp","pre_ico_start","pre_ico_end","pre_ico_price_usd","platform","accepting","link_provided"
"AISI Coin","Georgia","2018-05-30","2018-08-01","0.08","7535000","13700000","0.88","2.2E8","No","Yes","Unavailable","USA, China, South Korea, Bosnia and Herzegovina, Ethiopia, Iran, Iraq, North Korea, Serbia, Sudan, Syria, Sri Lanka, Trinidad, Tobago, Tunisia, Vanuatu, Yemen","Available","Unavailable","2018-03-21","2018-04-21","0.02","Separate blockchain","BTC, DASH, ETH, LTC, Fiat","Yes"
"CONUN","Singapore","2018-07-01","2018-08-15","0.06","24000","52500000","0.25","1.75E10","No","Yes","Unavailable","None","Unavailable","Unavailable","2018-06-11","2018-06-30","0.02","Ethereum","ETH","Yes"
"HighBank","British Virgin Islands","2019-03-01","2019-06-30","1.0","5000000","40000000","0.4","4.0E7","No","Yes","Unavailable","USA","Available","Unavailable","2019-02-01","2019-02-28","1.0","Ethereum","ETH, BTC, LTC","Yes"
"INTELLIGENT HERO","Estonia","2010-01-10","2020-03-20","0.5","1000000","6000000","0.3","3.0E7","No","Yes","Unavailable","No","Available","Unavailable","2019-11-30","2019-12-30","0.1","Ethereum","ETH, BTC, USD, EUR","Yes"
"Verifier","Russia","2018-11-15","2018-12-15","0.1","2000000","12000000","0.27","1.2E8","Yes","Yes","Unavailable","None","Available","Available","2017-12-01","2018-11-10","0.1","Ethereum","ETH","Yes"
"EUCX","Netherlands","2019-07-01","2019-08-31","0.0341","1244469","20741156","0.625","6.25E8","Yes","Yes","Unavailable","USA, Botswana, North Korea, Ethiopia, Ghana, Iran, Pakistan, Sri Lanka, Syria, Trinidad and Tobago, Tunisia, Yemen","Unavailable","Unavailable","2019-05-01","2019-06-30","0.02523609","Ethereum","ETH","Yes"
"TOXIC","UK","2020-04-01","2020-06-01","0.2","1250000","1800000","0.875","7000000.0","No","Yes","Unavailable","Afghanistan, Bosnia and Herzegovina, Central African Republic, Cuba, Democratic Republic of the Congo, Democratic People's Republic of Korea (North Korea), Eritrea, Ethiopia, Guinea-Bissau, Iran, Iraq, Libya, LebaNonen, Somalia, South Sudan, Sudan, Syria, Uganda, Vanuatu, Yemen, the Crimea region.","Unavailable","Available","2019-10-28","2020-03-31","0.1","Ethereum","ETH, BTC, BCH, LTC","Yes"
"Streamex","Hong Kong","2019-05-01","2019-05-31","0.08","4000000","11200000","0.48","2.4E8","Yes","Yes","Unavailable","USA, China, Hong Kong","Unavailable","Available","2019-04-10","2019-04-30","0.06","Ethereum","ETH, BTC","Yes"
"bounty0x",,"2017-12-01","2017-12-15","0.04","7000000","10000000","0.5","2.5E8","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2017-11-10","2017-11-15","0.032","Ethereum",,"Yes"
"Atisios","France","2018-12-01","2019-02-28","0.0095","943549","15096785","0.69","1.38E9","No","No","Unavailable","None","Available","Unavailable","2018-11-01","2018-11-30","0.00596615982","Ethereum","ETH","Yes"
"BILLCRYPT","Gibraltar","2019-07-03","2020-04-23","1.0","10000000","80000000","0.44","1.52E8","No","No","Unavailable","None","Available","Available","2018-11-16","2019-07-03","0.5","Ethereum","ETH, BTC, BCH, LTC, USDT, DASH","Yes"
"ECOS","Estonia","2018-09-11","2018-10-30","0.1","1000000","7700000","0.5","3.85E8","No","Yes","Available","None","Available","Unavailable","2018-04-02","2018-05-31","0.1","Ethereum","ETH, BTC","Yes"
"BrandProtect","Ukraine","2020-04-27","2020-05-31","0.65","520000","1365000","0.07","1.5E7","No","No","Unavailable","None","Available","Available","2019-07-28","2020-02-23","0.5","Ethereum","ETH, BTC, EOS, TRX, USD, EUR","Yes"
"CoTrader","Saint Kitts and Nevis","2018-12-01","2018-12-17","1.18635559E-5","38053","114160","0.65","1.4E10","No","No","Unavailable","USA","Available","Available","2017-12-01","2018-11-01","4.66540009E-5","Ethereum","ETH, BTC, LTC, BCH","Yes"
"SBC Platform","Switzerland","2018-04-17","2018-11-26","3.8129","3500000","11000000","0.6","1.2013889E7","Not Specified","Yes","Unavailable","None","Available","Unavailable","2018-03-15","2018-03-16","0.13","Ethereum","ETH","Yes"
"Future1Coin","Singapore","2018-05-15","2018-06-15","0.09","500000","2000000","0.84","2.5E8","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2017-12-01","2018-05-14","0.045","Ethereum","BTC, ETH, Fiat","Yes"
"MeeTip","France","2017-11-17","2017-12-15","1.13","50000","30000000","0.9","2.7E7","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2017-11-03","2017-11-10","0.339678887777778","Ethereum","ETH","Yes"
"BrainerZ","Israel","2018-07-23","2018-09-23","0.01","500000","12000000","0.6","1.2E9","No","Yes","Unavailable","USA","Available","Available","2018-07-09","2018-07-23","0.01","Ethereum","ETH, BTC","Yes"
"DIPChain","Singapore","2019-07-19","2019-09-20","0.022133342","1308300","7413701","0.35","3.5E8","Yes","Yes","Unavailable","USA, China","Available","Unavailable","2019-06-18","2019-07-18","0.023059510863","Ethereum","ETH","Yes"
"Hurify","Canada","2018-02-01","2018-02-28","0.158","8551989","21379974","0.6","1.5125E8","No","Yes","Unavailable","Canada","Unavailable","Unavailable","2017-12-15","2017-12-21","0.0912597330666667","Ethereum","BTC, LTC, DASH, ETH, BTG, BCH","Yes"
"LOVE Air Coffee","Ukraine","2019-08-01","2019-08-31","0.1107175","2281527","46460190","0.125","1.25E8","No","Yes","Unavailable","USA, China","Available","Available","2019-05-10","2019-05-27","0.05604815","Ethereum","ETH","Yes"
"Minery","Russia","2018-07-01","2018-09-30","1.0","15000000","55000000","0.87","4.785E7","No","Yes","Unavailable","None","Unavailable","Unavailable","2018-03-15","2018-06-30","1.0","Ethereum","ETH, BTC, Fiat","Yes"
"TriipMiles","Singapore","2019-02-23","2019-03-29","0.01804494043347","250000","2475000","0.33","1.65E8","Yes","Yes","Unavailable","USA, China, North Korea","Available","Available","2019-02-01","2019-02-21","0.015","Ethereum","ETH, TOMO, BTC, Fiat","Yes"
"AgroTechFarm","Cyprus","2018-07-23","2018-09-30","2.7677","372556","9313920","0.65","5000000.0","Yes","No","Unavailable","None","Available","Available","2018-02-16","2018-04-10","4.970916132","Ethereum","ETH","Yes"
"Hybrid Betting","UK","2018-06-14","2018-08-15","0.22","5000000","7000000","0.55","5.0E7","Yes","No","Unavailable","USA, China, Singapore, North Korea, South Korea","Unavailable","Unavailable","2018-04-03","2018-06-08","0.18","Ethereum","ETH","Yes"
"Raido Financial","Belize","2019-01-15","2019-02-15","0.0957","915752","6442260","0.7","6.02625E7","Yes","Yes","Unavailable","USA, China, North Korea, Singapore","Available","Available","2018-11-15","2018-12-15","0.180806","Ethereum","ETH, BTC, LTC, DASH","Yes"
"Render It Coin","Ireland","2018-09-01","2018-11-30","11.6212","5696385","28481925","0.8","4000000.0","No","No","Unavailable","None","Unavailable","Unavailable","2018-08-01","2018-08-31","2.916165","Ethereum","BTC, ETH, Fiat","Yes"
"Sapien","USA","2018-03-03","2018-04-03","0.1417","50000000","12506790","0.45","2.15E8","Not Specified","Not Specified","Unavailable","None","Available","Unavailable","2018-01-31","2018-02-15","0.186385009833333","Ethereum","ETH, BTC","Yes"
"Swipecrypto","Singapore","2019-08-05","2019-08-18","0.0048","480000","1800000","0.25","3.75E8","No","No","Unavailable","China, USA","Unavailable","Unavailable","2019-07-10","2019-07-28","0.0048","Ethereum","BTC, ETH, USDT, TEN, IDR","Yes"
"Export.Online","Russia","2018-06-01","2018-07-01","1.0","5000000","20000000","0.843","3.6547525E7","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2018-05-20","2018-05-31","0.8","Ethereum","ETH","Yes"
"GigTricks","Gibraltar","2018-09-01","2018-12-31","0.248","2500000","35000000","0.25","2.5E8","No","Yes","Unavailable","USA, China, South Africa","Available","Available","2018-07-01","2018-07-30","0.124","Ethereum","ETH, BTC, Fiat","Yes"
